id,category,title,image_url,source_page,suggested_use,alt_text,rights_note
15,Studio,Pottery studio crafting,https://rangaai.com/cdn/shop/files/file_13.jpg?v=1718188919&width=800,https://rangaai.com/products/parijat-earth-kurta,Website,Pottery studio crafting — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
16,Vessels,Ceramic vase with blossoming branches,https://static.wixstatic.com/media/f7b853_1bd9d97bd9a34db7acebd3271c4d1681~mv2.jpg/v1/fill/w_744%2Ch_588%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/ata-ceramics-studio-vase.jpg,https://www.ataceramics.nz/,Shop / Collections / Artspace,Ceramic vase with blossoming branches — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
17,Drinkware,A Clay Story glazed tumblers,https://aclaystory.com/cdn/shop/collections/WhatsApp_Image_2026-07-30_at_11.19.51_AM.jpg?v=1785523300&width=1500,https://aclaystory.com/,Shop / Collections,A Clay Story glazed tumblers — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
18,Vessels,A Clay Story vases,https://aclaystory.com/cdn/shop/collections/V09-4.jpg?v=1785554709&width=1500,https://aclaystory.com/,Shop / Collections / Artspace,A Clay Story vases — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
19,Drinkware,A Clay Story painted tumblers,https://aclaystory.com/cdn/shop/collections/tumblers-2.jpg?v=1785467214&width=1500,https://aclaystory.com/,Shop / Collections,A Clay Story painted tumblers — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
20,Dining,A Clay Story plated food styling,https://aclaystory.com/cdn/shop/collections/food-29.jpg?v=1759632180&width=1500,https://aclaystory.com/,Home / Collections,A Clay Story plated food styling — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
21,Dining,A Clay Story breakfast tableware,https://aclaystory.com/cdn/shop/collections/eat_all-1.jpg?v=1785467163&width=1500,https://aclaystory.com/,Home / Collections,A Clay Story breakfast tableware — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
22,Artspace,Mandala pottery outdoor collection,https://images.squarespace-cdn.com/content/v1/684fb4071e017004de7840f3/378e8b64-91b4-48c6-bec8-7117f7f809e9/WhatsApp%2BImage%2B2025-06-12%2Bat%2B8.28.30%2BAM.jpg,https://www.mandalapottery.com/our-pottery,Artspace / Home2,Mandala pottery outdoor collection — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
23,Artspace,Mandala sculptural vessel,https://images.squarespace-cdn.com/content/v1/684fb4071e017004de7840f3/1772297842189-53AIKLKZXOEKPM72DSMS/image-asset.jpeg,https://www.mandalapottery.com/our-pottery,Artspace / Home2,Mandala sculptural vessel — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
24,Artspace,Mandala ceramic bowls and trays,https://images.squarespace-cdn.com/content/v1/684fb4071e017004de7840f3/1772250698847-D84KBA7W6KFBEYE4YV6B/image-asset.jpeg,https://www.mandalapottery.com/our-pottery,Artspace / Home2,Mandala ceramic bowls and trays — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
25,Artspace,Mandala colored ceramic bowls,https://images.squarespace-cdn.com/content/v1/684fb4071e017004de7840f3/1771791795469-ISNA21CHCOW8XVMJMORI/image-asset.jpeg,https://www.mandalapottery.com/our-pottery,Artspace / Home2,Mandala colored ceramic bowls — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
26,Artspace,Mandala hand-built vessels,https://images.squarespace-cdn.com/content/v1/684fb4071e017004de7840f3/1769880652673-8JXECDYV51NDFXF7SUEH/image-asset.jpeg,https://www.mandalapottery.com/our-pottery,Artspace / Home2,Mandala hand-built vessels — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
27,Artspace,Mandala sculptural bowl,https://images.squarespace-cdn.com/content/v1/684fb4071e017004de7840f3/1768325100007-C0KAZ613T3IZPOUA1K69/image-asset.jpeg,https://www.mandalapottery.com/our-pottery,Artspace / Home2,Mandala sculptural bowl — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
28,Artspace,Mandala ceramic artwork,https://images.squarespace-cdn.com/content/v1/684fb4071e017004de7840f3/1767712860373-H9GUZ0LKG41WMQJJAA8V/image-asset.jpeg,https://www.mandalapottery.com/our-pottery,Artspace / Home2,Mandala ceramic artwork — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
29,Artspace,Mandala outdoor ceramic piece,https://images.squarespace-cdn.com/content/v1/684fb4071e017004de7840f3/1766343376373-A9ZCEYTCJLWGGEXIENJO/image-asset.jpeg,https://www.mandalapottery.com/our-pottery,Artspace / Home2,Mandala outdoor ceramic piece — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
30,Artisan,Adil Writer ceramic collection,https://uppercrustindia.com/2019/media/postassets/2021/Nov/25/image-20211125195119-1_0.png,https://uppercrustindia.com/v3/posts/555/eat-clay-love-adil-writer-s-mantra,Artspace / Studio,Adil Writer ceramic collection — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
31,Artisan,Suresh at Mandala pottery wheel,https://images.squarespace-cdn.com/content/v1/684fb4071e017004de7840f3/aa2c194d-0b95-4fb2-a7be-c5e6013e317f/Suresh.jpg,https://www.mandalapottery.com/history,Artspace / Studio,Suresh at Mandala pottery wheel — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
32,Market,Auroville potters market,https://media.newindianexpress.com/TNIE%2Fimport%2F2016%2F1%2F23%2F21%2Foriginal%2F23pdypot3.JPG,https://www.newindianexpress.com/states/tamil-nadu/2016/Jan/23/art-shines-at-second-edition-of-the-auroville-international-potters-market-held-at-visitors-centre-872577.html,Home2 / Studio,Auroville potters market — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
33,Studio,Nested ceramic bowls,https://images.squarespace-cdn.com/content/5ab6addce2ccd1996fe8e2d0/1521930668498-WAHTPPG0QHGAGPR3L7B2/image-asset.jpeg?content-type=image%2Fjpeg&format=1000w,https://www.hamishjacksonpottery.com/blog/2014/05/the-dana-pottery-community-auroville.html,Website,Nested ceramic bowls — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
34,Tableware,Mantra handcrafted plate set,https://www.auroville.com/cdn/shop/files/cm-30-blue-slip--_6__1.jpg?v=1727275602&width=1946,https://www.auroville.com/products/mantra-plate-set,Shop / Collections / Home,Mantra handcrafted plate set — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
35,Workshop,Slow Pottery workshop session,https://cdn.shopify.com/s/files/1/2784/4712/files/Slowpottery_Store_Update_Been_A_While-2_480x480.jpg?v=1711793384,https://www.slowpottery.com/pages/velanga-orchard-x-slow-pottery-residential-courses,Studio / Home2,Slow Pottery workshop session — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
36,Studio,Claysutra pottery display,https://imgmediagumlet.lbb.in/43914506_730448467310436_5291782933753236625_n_1569561683752.jpg,https://lbb.in/hyderabad/claysutra-studio-secunderabad/,Website,Claysutra pottery display — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
37,Tableware,Emma Lacey everyday mugs,https://images.squarespace-cdn.com/content/v1/62f4bf05abd1ea03de24eb60/74c2a024-b892-4d21-9041-9c1fe435b08b/Product_047.jpg,https://www.emmalacey.com/,Shop / Collections / Home,Emma Lacey everyday mugs — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
38,Tableware,Emma Lacey blue scale mugs,https://images.squarespace-cdn.com/content/v1/62f4bf05abd1ea03de24eb60/1663577283868-AHSWTXSEPECNVM63KFSD/Blue-Scale-Everyday-Mugs-Phot-cred-Yeshen-Venema-Emma-Lacey-2.9.196173-1-1118x1118.jpg,https://www.emmalacey.com/,Shop / Collections / Home,Emma Lacey blue scale mugs — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
39,Tableware,Emma Lacey Tacit porcelain mugs,https://images.squarespace-cdn.com/content/v1/62f4bf05abd1ea03de24eb60/1660736212901-ZMRNB8JCRWU4MSLSCNY9/Tacit%2BPorcelain%2BMug%2Bby%2BEmma%2BLacey.jpeg,https://www.emmalacey.com/,Shop / Collections / Home,Emma Lacey Tacit porcelain mugs — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
40,Tableware,Tattva handmade teal ceramic collection,https://tattvahandmade.com/cdn/shop/files/FEA533E3-BFD4-4A7B-8475-25C3265444EC_1_201_a_600x600%402x.heic?v=1732518498,https://tattvahandmade.com/,Shop / Collections / Home,Tattva handmade teal ceramic collection — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
